codebarre,carrefour
3023290050347,"1,59"
3154230802259,"2,29"
30000117,
3033490907730,"5,25"
3083681027860,"3,39"
3095754136010,"3,95"
3095757413019,
3159470204429,
3245390028594,"1,59"
3270190009511,"2,45"
3302741859105,"3,95"
3521042206511,"4,79"
3560071014186,"1,49"
3560071019563,
8001230000787,"1,79"
8076809535755,"1,39"
3560071407650,"3,15"
3017760329798,"3,39"
3017760404396,
3033491325519,"1,99"
3166352967037,"4,05"
3168930005681,
3245412589980,
3245413458513,"3,59"
3270190007425,"1,19"
3338310000715,
3392780007001,
3421557501142,"6,25"
3428273000034,
3478820023726,"3,99"
3560070048786,"1,29"
3560070820542,"2,30"
3608580931546,"2,99"
3760122966000,"5,25"
4008258130018,"5,80"
6191509903023,
3560071193423,"1,79"
3700009269114,"6,15"
3533636760002,
3302740044786,"4,75"
3560071407568,"3,55"
3045320104165,"2,79"
3083680019408,"2,85"
3161919369286,"3,15"
3179140123805,"2,15"
3245411157944,"1,45"
3302741843104,
